Agente,Nodos explorados,Numero de enviroment,Solución encontrada
A*,833,0,True
A*,775,1,True
A*,847,2,True
A*,815,3,True
A*,820,4,True
A*,858,5,True
A*,822,6,True
A*,820,7,True
A*,806,8,True
A*,746,9,True
A*,796,10,True
A*,776,11,True
A*,854,12,True
A*,990,13,True
A*,856,14,True
A*,822,15,True
A*,802,16,True
A*,830,17,True
A*,960,18,True
A*,846,19,True
A*,795,20,True
A*,835,21,True
A*,798,22,True
A*,843,23,True
A*,809,24,True
A*,805,25,True
A*,813,26,True
A*,826,27,True
A*,846,28,True
A*,806,29,True
